coors
"(49, 321.8824195853516)"
"(50, 320.7427225981819)"
"(56, 314.1914084474541)"
"(56, 314.1914084474541)"
"(71, 299.80823548493225)"
"(72, 298.94308497611524)"
"(71, 299.80823548493225)"
"(74, 297.24570109117155)"
"(75, 296.4132288815158)"
"(80, 292.40837247879847)"
"(81, 291.63809549373184)"
"(83, 290.12733048067287)"
"(84, 289.3866202182098)"
"(85, 288.6555448021841)"
"(84, 289.3866202182098)"
"(87, 287.22186395487864)"
"(88, 286.51904348146985)"
"(91, 284.46539026518417)"
"(92, 283.7987605219458)"
"(93, 283.14091959936445)"
"(94, 282.4917656991799)"
"(96, 281.2191161045033)"
"(97, 280.59542113436027)"
"(98, 279.9800146281957)"
"(99, 279.3727990872707)"
"(101, 278.1825551487767)"
"(102, 277.59933598564857)"
"(103, 277.02392624952563)"
"(104, 276.4562326522395)"
"(105, 275.8961627370618)"
"(106, 275.343624875146)"
"(108, 274.26078291377604)"
"(109, 273.73029966401634)"
"(110, 273.2069901597915)"
"(111, 272.6907668582944)"
"(112, 272.1815430232515)"
"(113, 271.679232721365)"
"(114, 271.18375081875485)"
"(116, 270.21293565158305)"
"(117, 269.73743608432727)"
"(118, 269.26843230384327)"
"(119, 268.8058431199688)"
"(120, 268.34958812061086)"
"(121, 267.8995876681881)"
"(123, 267.018035705031)"
"(124, 266.5863287596685)"
"(126, 265.7406700622366)"
"(127, 265.3265674265406)"
"(128, 264.9181832621539)"
"(129, 264.5154439994972)"
"(131, 263.72660960994335)"
"(132, 263.3403710421005)"
"(134, 262.583898051868)"
"(135, 262.2135245687487)"
"(137, 261.4881613885724)"
"(138, 261.1330369469566)"
"(140, 260.43757083311084)"
"(141, 260.0970986684484)"
"(143, 259.4303551463456)"
"(144, 259.10395748455466)"
"(146, 258.4647997723434)"
"(147, 258.1519175416097)"
"(149, 257.53924597377284)"
"(150, 257.2393385163488)"
"(152, 256.6520899673016)"
"(153, 256.3646347513054)"
"(156, 255.52627439020802)"
"(157, 255.25464012443172)"
"(159, 254.72277851337785)"
"(160, 254.4624461185429)"
"(162, 253.95272027312538)"
"(163, 253.70322555545107)"
"(166, 252.97561967184873)"
"(167, 252.73988223977852)"
"(170, 252.05240201991313)"
"(171, 251.829665818126)"
"(174, 251.1801008259846)"
"(175, 250.96964809603082)"
"(179, 250.15705178937253)"
"(180, 249.9610009199195)"
"(184, 249.20399983179232)"
"(185, 249.02135869235948)"
"(190, 248.14596803362988)"
"(191, 247.97820566393577)"
"(197, 247.02001789151657)"
"(198, 246.86808616491817)"
"(206, 245.72712253428892)"
"(207, 245.59339331647328)"
"(216, 244.47178384454799)"
"(217, 244.35583361996146)"
"(227, 243.28391321222279)"
"(228, 243.1850584132505)"
"(239, 242.18954369279055)"
"(240, 242.10701417011495)"
"(254, 241.07991544783903)"
"(255, 241.01531442068972)"
"(278, 239.82695081163507)"
"(279, 239.78776191250734)"
"(311, 239.06867702055115)"
"(312, 239.06312624045057)"
"(314, 239.05518163004137)"
"(315, 239.0527943502321)"
"(316, 239.0514682578816)"
"(317, 239.0512068281963)"
"(338, 239.29843908273085)"
"(339, 239.32259057359033)"
"(340, 239.34789976299544)"
"(341, 239.37437091001254)"
"(355, 239.86930745885763)"
"(356, 239.9137025559753)"
"(357, 239.95932372951756)"
"(358, 240.00617455380973)"
"(359, 240.05425853087536)"
"(373, 240.85867382227013)"
"(374, 240.925615281389)"
"(387, 241.9124966707841)"
"(388, 241.99741251769365)"
"(398, 242.9172067399861)"
"(399, 243.01621937226037)"
"(409, 244.07569796694088)"
"(410, 244.18849745807097)"
"(419, 245.25821767389948)"
"(420, 245.38301445242905)"
"(429, 246.55737188164562)"
"(430, 246.6933700624702)"
"(438, 247.81868354292942)"
"(439, 247.96382498386993)"
"(446, 249.00556927118373)"
"(447, 249.15788121270566)"
"(456, 250.56353141264958)"
"(457, 250.72323437540285)"
"(464, 251.85752214131116)"
"(465, 252.02162531120098)"
"(473, 253.34822508187153)"
"(474, 253.51536862507805)"
"(480, 254.5213595885441)"
"(481, 254.68925927882992)"
"(485, 255.36034473502832)"
"(486, 255.52781868836246)"
"(487, 255.6951042115072)"
"(488, 255.86216564549431)"
"(491, 256.3616407787765)"
"(492, 256.527438516149)"
"(500, 257.8357032846884)"
"(501, 257.99635838179074)"
"(508, 259.0965650041139)"
"(509, 259.24970462529177)"
"(516, 260.2866967063969)"
"(517, 260.4292318170096)"
"(525, 261.5087959170028)"
"(526, 261.63530921982783)"
"(534, 262.5678879134789)"
"(535, 262.67358597540897)"
"(542, 263.33607667888646)"
"(543, 263.41884334406905)"
"(551, 263.960416378588)"
"(552, 264.0119265517478)"
"(559, 264.2601870939661)"
"(558, 264.23731826786616)"
"(557, 264.2101142982533)"
"(556, 264.1786576598806)"
"(554, 264.10331235987815)"
"(553, 264.0595847424406)"
"(547, 263.71740093765857)"
"(546, 263.6477830244039)"
"(544, 263.4984312955362)"
"(543, 263.41884334406905)"
"(542, 263.33607667888646)"
"(541, 263.2502023897041)"
"(540, 263.16129083570513)"
"(539, 263.06941164908767)"
"(529, 262.0022064056343)"
"(528, 261.8820746308038)"
"(521, 260.98324454360954)"
"(520, 260.8472695991236)"
"(514, 259.9971631905878)"
"(513, 259.8502693790497)"
"(511, 259.55248439566776)"
"(510, 259.40169404267954)"
"(509, 259.24970462529177)"
"(508, 259.0965650041139)"
"(507, 258.94232342663236)"
"(506, 258.7870275307705)"
"(505, 258.63072434844344)"
"(504, 258.47346030911535)"
"(503, 258.315281243365)"
"(498, 257.512223114383)"
"(497, 257.34948324262336)"
"(494, 256.8577636359141)"
"(493, 256.6928257756663)"
"(492, 256.527438516149)"
"(487, 255.6951042115072)"
"(486, 255.52781868836246)"
"(480, 254.5213595885441)"
"(479, 254.3534743893706)"
"(474, 253.51536862507805)"
"(473, 253.34822508187153)"
"(465, 252.02162531120098)"
"(464, 251.85752214131116)"
"(463, 251.6938869239957)"
"(462, 251.5307439987846)"
"(461, 251.3681172557565)"
"(457, 250.72323437540285)"
"(456, 250.56353141264958)"
"(456, 250.56353141264958)"
"(455, 250.40447873327753)"
"(452, 249.9314287293721)"
"(451, 249.77518142673625)"
"(444, 248.70348278536926)"
"(443, 248.55374144317693)"
"(441, 248.25694269625797)"
"(440, 248.10991621320431)"
"(435, 247.38909785766145)"
"(434, 247.24789368920779)"
"(433, 247.10770659277796)"
"(432, 246.96854897205662)"
"(426, 246.15587411048637)"
"(425, 246.0242417833715)"
"(423, 245.76433657577195)"
"(422, 245.6360822793281)"
"(423, 245.76433657577195)"
"(432, 246.96854897205662)"
"(433, 247.10770659277796)"
"(440, 248.10991621320431)"
"(441, 248.25694269625797)"
"(449, 249.46495657581386)"
"(450, 249.61968445082744)"
"(451, 249.77518142673625)"
"(452, 249.9314287293721)"
"(456, 250.56353141264958)"
"(457, 250.72323437540285)"
